iter	Passed	Remaining
0	652	652333
1	953	475674
2	1250	415584
3	1544	384640
4	1834	365066
5	2230	369495
6	2526	358343
7	2831	351109
8	3136	345310
9	3442	340809
10	3831	344444
11	4130	340112
12	4452	338053
13	4748	334423
14	5045	331342
15	5428	333855
16	5732	331483
17	6039	329478
18	6346	327673
19	6654	326053
20	7037	328060
21	7333	325999
22	7617	323589
23	7905	321472
24	8199	319765
25	8602	322245
26	8894	320515
27	9176	318540
28	9466	316969
29	9768	315860
30	10176	318110
31	10468	316679
32	10776	315772
33	11074	314641
34	11375	313645
35	11781	315493
36	12074	314268
37	12367	313098
38	12666	312104
39	12958	311007
40	13340	312040
41	13630	310916
42	13917	309755
43	14204	308635
44	14500	307730
45	14880	308600
46	15193	308077
47	15490	307225
48	15790	306461
49	16084	305604
50	16467	306433
51	16787	306049
52	17074	305086
53	17361	304145
54	17656	303370
55	18059	304439
56	18369	303894
57	18662	303098
58	18953	302294
59	19253	301634
60	19633	302234
61	19950	301825
62	20233	300928
63	20532	300286
64	20827	299601
65	21207	300122
66	21500	299399
67	21783	298559
68	22102	298228
69	22397	297571
70	22787	298157
71	23078	297461
72	23371	296788
73	23670	296205
74	23981	295775
75	24370	296293
76	24674	295777
77	24973	295203
78	25274	294652
79	25566	294017
80	25965	294599
81	26281	294228
82	26576	293624
83	26881	293141
84	27189	292685
85	27587	293196
86	27880	292587
87	28175	292000
88	28459	291308
89	28748	290684
90	29140	291086
91	29441	290577
92	29737	290020
93	30035	289490
94	30334	288974
95	30714	289232
96	31010	288684
97	31295	288047
98	31597	287569
99	31890	287014
100	32278	287307
101	32579	286826
102	32879	286337
103	33162	285708
104	33482	285399
105	33867	285639
106	34177	285238
107	34469	284694
108	34755	284099
109	35046	283558
110	35439	283839
111	35734	283322
112	36025	282787
113	36323	282300
114	36619	281810
115	37017	282097
116	37304	281536
117	37596	281019
118	37883	280468
119	38176	279964
120	38562	280138
121	38854	279623
122	39158	279206
123	39454	278725
124	39740	278184
125	40129	278361
126	40424	277879
127	40729	277469
128	41022	276980
129	41326	276568
130	41725	276788
131	42014	276278
132	42314	275842
133	42607	275359
134	42905	274915
135	43309	275141
136	43602	274661
137	43902	274232
138	44196	273766
139	44491	273306
140	44891	273487
141	45201	273119
142	45492	272635
143	45790	272196
144	46092	271786
145	46485	271906
146	46781	271460
147	47077	271010
148	47366	270526
149	47654	270039
150	48049	270158
151	48344	269712
152	48655	269354
153	48975	269045
154	49275	268630
155	49660	268673
156	49953	268222
157	50245	267763
158	50544	267346
159	50836	266893
160	51230	266972
161	51526	266537
162	51826	266127
163	52122	265698
164	52427	265316
165	52825	265397
166	53124	264984
167	53404	264481
168	53695	264028
169	54001	263655
170	54386	263664
171	54690	263277
172	54972	262787
173	55262	262336
174	55552	261888
175	55965	262018
176	56260	261593
177	56566	261221
178	56873	260856
179	57171	260446
180	57548	260400
181	57852	260019
182	58138	259557
183	58422	259092
184	58731	258734
185	59123	258744
186	59427	258368
187	59725	257962
188	60016	257531
189	60307	257101
190	60703	257116
191	60992	256678
192	61286	256261
193	61575	255822
194	61860	255372
195	62262	255403
196	62550	254963
197	62863	254629
198	63153	254202
199	63442	253769
200	63820	253694
201	64119	253304
202	64419	252916
203	64725	252557
204	65024	252166
205	65419	252151
206	65745	251866
207	66054	251515
208	66365	251173
209	66658	250762
210	67052	250730
211	67344	250319
212	67637	249910
213	67929	249496
214	68214	249061
215	68618	249060
216	68920	248685
217	69215	248287
218	69516	247911
219	69818	247539
220	70204	247462
221	70501	247072
222	70788	246648
223	71082	246251
